id_offre,titre,entreprise,source,Competence
3162,Data manager (H/F),,France Travail,Python
3165,Ingénieur Data H/F,RH Partners,France Travail,Python
3167,Data manager (H/F),,France Travail,Python
3181,Data manager (H/F),,France Travail,Python
3182,Data manager (H/F),,France Travail,Python
3195,Architecte Data (H/F),,France Travail,Python
3210,Développeur Big Data (H/F),,France Travail,Python
3211,Data manager (H/F),,France Travail,Python
3212,Data manager (H/F),,France Travail,Python
3215,Ingénieure / Ingénieur Data Python confirmé(e) (H/F),,France Travail,Python
3218,Data manager (H/F),,France Travail,Python
3220,Développeur / Développeuse Big Data (H/F),Thales Services Numériques Sas,France Travail,Python
3229,DATA MANAGER (H/F),FHF,France Travail,Python
3230,Data manager (H/F),,France Travail,Python
3231,Data manager (H/F),,France Travail,Python
3232,Chef de Projet Data RGPD (H/F),Fed Group,France Travail,Python
3235,Data manager (H/F),,France Travail,Python
3236,Architecte Data (H/F),,France Travail,Python
3239,Data manager (H/F),,France Travail,Python
3241,INGÉNIEUR DATA EXPÉRIMENTÉ (H/F),,France Travail,Python
3244,Tech Lead data F/H,ORANGE BUSINESS,France Travail,Python
3245,Data manager (H/F),,France Travail,Python
3247,Data manager (H/F),,France Travail,Python
3258,Tech Lead Data H/F,JEMS,France Travail,Python
3262,Data manager (H/F),,France Travail,Python
3265,Développeur Big Data (H/F),,France Travail,Python
3270,Data manager (H/F),,France Travail,Python
3274,Data manager (H/F),,France Travail,Python
3276,Spécialiste IA / Machine Learning Engineer (H/F),R(E) GREEN,France Travail,Python
3277,Ingénieur en Machine Learning Senior (H/F),CELIOS TECHNOLOGIES,France Travail,Python
3279,Consultant IT (H/F),,France Travail,Python
3284,Technicien(ne) spécialisé(e) en Science des données (H/F),ARKEMA FRANCE,France Travail,Python
3286,Ingénieur DevOps (H/F),,France Travail,Python
3296,Ingénieur d'essais et gestion de projets (H/F),ZAACK,France Travail,Python
3297,Chargé d'études actuarielles H/F (H/F),HEYME,France Travail,Python
3300,Chargé.e d'études - Modélisation Trafic & Recettes (H/F),GRAND EST MOBILITES,France Travail,Python
