titre,entreprise,contrat,localisation,salaire,description,lien,date_scraping,source,mot_cle_recherche,id_apec
CHARGE RECRUTEMENT IT F/H,IS CONSEIL(GROUPE VPEX),,,A partir de 28 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177948086W,2026-02-10,APEC,Data Scientist,177948086W
Product Owner IA F/H,WEVALUE,,,45 - 50 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178090646W,2026-02-10,APEC,Data Scientist,178090646W
Ingénieur BIG DATA SENIOR - Femme/Homme F/H,CANDIDATE FIRST,,,50 - 70 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177966933W,2026-02-10,APEC,Data Scientist,177966933W
Tech Lead Machine Learning F/H,CDC Informatique,,,70 - 70 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177956872W,2026-02-10,APEC,Data Scientist,177956872W
Référent technique IA F/H,FAB GROUP,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177946936W,2026-02-10,APEC,Data Scientist,177946936W
Data engineer F/H,AMILTONE,,,A partir de 35 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178111575W,2026-02-10,APEC,Data Scientist,178111575W
Data engineer F/H,AMILTONE,,,A partir de 35 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178091372W,2026-02-10,APEC,Data Scientist,178091372W
Chef de Projet Data F/H,Hellowork,,,45 - 45 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178079292W,2026-02-10,APEC,Data Scientist,178079292W
Chef de projet informatique - Domaine data engineering F/H,EURO-INFORMATION DEVELOPPEMENTS,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178047000W,2026-02-10,APEC,Data Scientist,178047000W
Chef de projet Data - Optim. du coût de l'intérim F/H,LEYTON FRANCE,,,35 - 39 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178092639W,2026-02-10,APEC,Data Scientist,178092639W
Tech Lead Data Science F/H,Safran Aircraft Engines,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178107234W,2026-02-10,APEC,Data Scientist,178107234W
Ingénieur DataScientist F/H,TYFALI & BRO'S,,,45 - 50 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178105678W,2026-02-10,APEC,Data Scientist,178105678W
Architecte technique du SID F/H,Caisse Nationale de l'Assurance Maladie,,,A partir de 45 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177956884W,2026-02-10,APEC,Data Scientist,177956884W
Machine Learning Operations F/H,CARREVOLUTIS,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178111390W,2026-02-10,APEC,Data Scientist,178111390W
