titre,entreprise,contrat,localisation,lien,date_scraping,source
DATA SCIENTIST - H/F,Banque De France,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/banque-de-france/jobs/data-scientist-h-f_paris-9e-arrondissement,2026-02-10,WTTJ
Stage 2026 - Data Science et Machine Learning/AI practitionner - Sujet : Data attribution (H/F/N),Ekimetrics,Stage,Paris,https://www.welcometothejungle.com/fr/companies/ekimetrics/jobs/stage-2026-data-science-et-machine-learning-ai-practitionner-sujet-data-attribution-h-f-n_paris,2026-02-10,WTTJ
Stage - Deep Learning Scientist (H/F),Safran Ai,Stage,Paris,https://www.welcometothejungle.com/fr/companies/safran-ai/jobs/stage-deep-learning-scientist-h-f_paris_SE_D306dKG,2026-02-10,WTTJ
Data Scientist,Jedha,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/jedha/jobs/data-scientist_paris,2026-02-10,WTTJ
Data Scientist & Recherche Opérationnelle confirmé (H/F),Mp Data,Non précisé,Marseille,https://www.welcometothejungle.com/fr/companies/mp-data/jobs/data-scientist-recherche-operationnelle-confirme-h-f_marseille,2026-02-10,WTTJ
Data Scientist: Technical Pricing (F/H),Axa,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-technical-pricing-f-h_suresnes_AXA_PDR1ogl,2026-02-10,WTTJ
"Data Scientist (Market Intelligence) - Internship, Paris",Spinergie,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/spinergie/jobs/data-scientist-market-intelligence-internship-paris_paris_SPINE_po5VYqb,2026-02-10,WTTJ
Stage de fin d’études Consultant(e) Data Scientist / Recherche Opérationnelle,Siaxperience,Stage,Paris,https://www.welcometothejungle.com/fr/companies/siaxperience/jobs/stage-de-fin-d-etudes-consultant-data-scientist-recherche-operationnelle_paris_SIA_D5KDX0X,2026-02-10,WTTJ
Stage de fin d'étude - Consultant(e) Data Science - Marketing & Stratégie,Siaxperience,Stage,Paris,https://www.welcometothejungle.com/fr/companies/siaxperience/jobs/stage-de-fin-d-etude-consultant-data-science-marketing-strategie_paris,2026-02-10,WTTJ
Consultant(e) Data Scientist / Recherche Opérationnelle,Siaxperience,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/siaxperience/jobs/consultant-data-scientist-recherche-operationnelle_paris_SIA_NXlqwQ1,2026-02-10,WTTJ
R&D Data Scientist - Intern,Descartesunderwriting,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/descartesunderwriting/jobs/r-d-data-scientist-intern_paris_DU_m8dggwA,2026-02-10,WTTJ
Data Scientist - Intern,Descartesunderwriting,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/descartesunderwriting/jobs/data-scientist-intern_paris,2026-02-10,WTTJ
Alternant / Stagiaire Data & IA H/F,Wevioo,Alternant,Paris,https://www.welcometothejungle.com/fr/companies/wevioo/jobs/alternant-data-ia-h-f_paris,2026-02-10,WTTJ
Data Scientist (F/H),Axa,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-f-h_nanterre_AXA_j58qOM6,2026-02-10,WTTJ
Data Scientist – Practice IA chez MARGO,Margo,Projets Marketing & Optimisation,Paris,https://www.welcometothejungle.com/fr/companies/margo/jobs/data-scientist-practice-ia-chez-margo-projets-marketing-optimisation_paris,2026-02-10,WTTJ
